Date,Subscribers,,,
8/26/2024,40,,,
10/13/2024,39,,,
3/28/2024,38,,,
8/25/2024,38,,,
7/18/2024,37,,,
9/16/2024,36,,,
8/10/2024,34,,,
7/26/2024,33,,,
9/1/2024,33,,,
11/4/2024,33,,,
3/25/2024,31,,,
3/29/2024,31,,,
8/28/2024,31,,,
4/2/2024,30,,,
9/2/2024,30,,,
9/3/2024,30,,,
10/21/2024,30,,,
7/22/2024,29,,,
7/25/2024,29,,,
8/22/2024,29,,,
9/8/2024,29,,,
9/11/2024,29,,,
5/23/2024,28,,,
8/2/2024,28,,,
9/13/2024,28,,,
9/19/2024,28,,,
10/10/2024,28,,,
10/18/2024,28,,,
7/20/2024,27,,,
8/15/2024,27,,,
8/23/2024,27,,,
11/10/2024,27,,,
1/6/2024,26,,,
3/17/2024,26,,,
4/8/2024,26,,,
7/21/2024,26,,,
7/24/2024,26,,,
7/28/2024,26,,,
7/29/2024,26,,,
9/9/2024,26,,,
9/21/2024,26,,,
10/7/2024,26,,,
12/3/2023,25,,,
2/18/2024,25,,,
3/31/2024,25,,,
4/7/2024,25,,,
5/5/2024,25,,,
7/12/2024,25,,,
8/3/2024,25,,,
8/27/2024,25,,,
8/30/2024,25,,,
9/14/2024,25,,,
9/29/2024,25,,,
9/30/2024,25,,,
10/14/2024,25,,,
10/28/2024,25,,,
11/3/2024,25,,,
11/9/2024,25,,,
11/13/2024,25,,,
1/7/2024,24,,,
1/27/2024,24,,,
3/26/2024,24,,,
4/17/2024,24,,,
4/25/2024,24,,,
5/2/2024,24,,,
5/6/2024,24,,,
5/9/2024,24,,,
8/4/2024,24,,,
9/4/2024,24,,,
10/16/2024,24,,,
10/27/2024,24,,,
12/5/2023,23,,,
3/20/2024,23,,,
7/15/2024,23,,,
7/17/2024,23,,,
7/19/2024,23,,,
7/23/2024,23,,,
7/31/2024,23,,,
8/31/2024,23,,,
9/5/2024,23,,,
9/12/2024,23,,,
9/22/2024,23,,,
9/24/2024,23,,,
10/11/2024,23,,,
3/3/2024,22,,,
3/10/2024,22,,,
3/15/2024,22,,,
3/21/2024,22,,,
4/9/2024,22,,,
5/12/2024,22,,,
5/14/2024,22,,,
5/18/2024,22,,,
5/22/2024,22,,,
5/27/2024,22,,,
7/13/2024,22,,,
7/16/2024,22,,,
8/16/2024,22,,,
10/5/2024,22,,,
10/24/2024,22,,,
10/29/2024,22,,,
1/8/2024,21,,,
1/18/2024,21,,,
2/1/2024,21,,,
2/17/2024,21,,,
3/7/2024,21,,,
3/14/2024,21,,,
3/16/2024,21,,,
3/27/2024,21,,,
4/29/2024,21,,,
5/1/2024,21,,,
5/11/2024,21,,,
7/11/2024,21,,,
8/8/2024,21,,,
8/24/2024,21,,,
8/29/2024,21,,,
10/19/2024,21,,,
10/26/2024,21,,,
12/4/2023,20,,,
3/23/2024,20,,,
4/1/2024,20,,,
4/6/2024,20,,,
4/16/2024,20,,,
5/10/2024,20,,,
5/21/2024,20,,,
5/24/2024,20,,,
5/28/2024,20,,,
6/23/2024,20,,,
8/13/2024,20,,,
9/25/2024,20,,,
9/28/2024,20,,,
10/8/2024,20,,,
10/31/2024,20,,,
11/2/2024,20,,,
11/11/2024,20,,,
12/6/2023,19,,,
12/29/2023,19,,,
1/31/2024,19,,,
2/4/2024,19,,,
3/4/2024,19,,,
3/13/2024,19,,,
4/13/2024,19,,,
4/24/2024,19,,,
5/17/2024,19,,,
6/20/2024,19,,,
7/27/2024,19,,,
8/1/2024,19,,,
8/21/2024,19,,,
9/10/2024,19,,,
9/18/2024,19,,,
10/3/2024,19,,,
12/17/2023,18,,,
12/31/2023,18,,,
1/11/2024,18,,,
1/28/2024,18,,,
1/29/2024,18,,,
3/22/2024,18,,,
3/30/2024,18,,,
4/3/2024,18,,,
4/5/2024,18,,,
4/11/2024,18,,,
4/12/2024,18,,,
4/27/2024,18,,,
4/30/2024,18,,,
5/7/2024,18,,,
5/13/2024,18,,,
5/15/2024,18,,,
5/16/2024,18,,,
6/26/2024,18,,,
8/6/2024,18,,,
8/12/2024,18,,,
8/18/2024,18,,,
8/19/2024,18,,,
9/6/2024,18,,,
10/4/2024,18,,,
10/9/2024,18,,,
10/15/2024,18,,,
10/22/2024,18,,,
10/25/2024,18,,,
11/8/2024,18,,,
11/12/2024,18,,,
11/20/2023,17,,,
12/1/2023,17,,,
3/6/2024,17,,,
4/19/2024,17,,,
4/20/2024,17,,,
5/3/2024,17,,,
5/4/2024,17,,,
5/19/2024,17,,,
6/15/2024,17,,,
6/19/2024,17,,,
6/27/2024,17,,,
6/30/2024,17,,,
7/14/2024,17,,,
8/14/2024,17,,,
9/7/2024,17,,,
9/15/2024,17,,,
9/27/2024,17,,,
10/1/2024,17,,,
10/6/2024,17,,,
12/9/2023,16,,,
1/10/2024,16,,,
1/16/2024,16,,,
2/5/2024,16,,,
2/7/2024,16,,,
3/5/2024,16,,,
3/19/2024,16,,,
4/4/2024,16,,,
4/10/2024,16,,,
5/8/2024,16,,,
5/29/2024,16,,,
7/30/2024,16,,,
8/9/2024,16,,,
8/17/2024,16,,,
9/20/2024,16,,,
10/30/2024,16,,,
11/19/2023,15,,,
11/30/2023,15,,,
12/8/2023,15,,,
12/10/2023,15,,,
2/3/2024,15,,,
2/20/2024,15,,,
3/9/2024,15,,,
4/21/2024,15,,,
4/22/2024,15,,,
6/17/2024,15,,,
6/22/2024,15,,,
7/4/2024,15,,,
7/6/2024,15,,,
8/5/2024,15,,,
9/26/2024,15,,,
10/23/2024,15,,,
11/1/2024,15,,,
11/7/2024,15,,,
12/21/2023,14,,,
1/2/2024,14,,,
1/9/2024,14,,,
1/14/2024,14,,,
2/14/2024,14,,,
2/25/2024,14,,,
2/27/2024,14,,,
3/12/2024,14,,,
4/15/2024,14,,,
4/26/2024,14,,,
5/25/2024,14,,,
5/31/2024,14,,,
6/8/2024,14,,,
6/9/2024,14,,,
6/12/2024,14,,,
7/7/2024,14,,,
7/10/2024,14,,,
8/20/2024,14,,,
9/23/2024,14,,,
10/2/2024,14,,,
11/5/2024,14,,,
11/15/2023,13,,,
12/15/2023,13,,,
12/28/2023,13,,,
1/5/2024,13,,,
1/13/2024,13,,,
1/15/2024,13,,,
1/30/2024,13,,,
2/2/2024,13,,,
2/11/2024,13,,,
2/15/2024,13,,,
3/11/2024,13,,,
3/24/2024,13,,,
4/28/2024,13,,,
6/24/2024,13,,,
6/25/2024,13,,,
6/28/2024,13,,,
7/2/2024,13,,,
8/7/2024,13,,,
10/12/2024,13,,,
10/17/2024,13,,,
11/6/2024,13,,,
11/25/2023,12,,,
12/2/2023,12,,,
12/18/2023,12,,,
12/26/2023,12,,,
12/27/2023,12,,,
1/19/2024,12,,,
1/22/2024,12,,,
2/6/2024,12,,,
2/10/2024,12,,,
2/12/2024,12,,,
2/19/2024,12,,,
2/23/2024,12,,,
2/26/2024,12,,,
2/28/2024,12,,,
3/2/2024,12,,,
4/23/2024,12,,,
9/17/2024,12,,,
12/24/2023,11,,,
1/25/2024,11,,,
2/8/2024,11,,,
2/24/2024,11,,,
3/1/2024,11,,,
5/20/2024,11,,,
6/11/2024,11,,,
6/29/2024,11,,,
10/20/2024,11,,,
11/18/2023,10,,,
11/29/2023,10,,,
12/11/2023,10,,,
12/13/2023,10,,,
12/30/2023,10,,,
1/1/2024,10,,,
1/20/2024,10,,,
1/26/2024,10,,,
2/16/2024,10,,,
2/22/2024,10,,,
3/18/2024,10,,,
4/14/2024,10,,,
5/30/2024,10,,,
6/4/2024,10,,,
6/13/2024,10,,,
7/1/2024,10,,,
7/3/2024,10,,,
7/8/2024,10,,,
11/28/2023,9,,,
12/16/2023,9,,,
12/20/2023,9,,,
12/23/2023,9,,,
12/25/2023,9,,,
1/4/2024,9,,,
1/17/2024,9,,,
1/21/2024,9,,,
1/23/2024,9,,,
2/9/2024,9,,,
2/29/2024,9,,,
5/26/2024,9,,,
6/1/2024,9,,,
6/3/2024,9,,,
6/7/2024,9,,,
6/21/2024,9,,,
7/5/2024,9,,,
11/16/2023,8,,,
11/22/2023,8,,,
11/24/2023,8,,,
11/26/2023,8,,,
12/7/2023,8,,,
12/22/2023,8,,,
1/24/2024,8,,,
6/14/2024,8,,,
6/16/2024,8,,,
8/11/2024,8,,,
12/12/2023,7,,,
12/14/2023,7,,,
4/18/2024,7,,,
11/17/2023,6,,,
12/19/2023,6,,,
1/3/2024,6,,,
2/13/2024,6,,,
2/21/2024,6,,,
6/5/2024,6,,,
11/23/2023,5,,,
11/27/2023,5,,,
1/12/2024,5,,,
6/2/2024,5,,,
6/10/2024,5,,,
6/18/2024,5,,,
11/21/2023,3,,,
3/8/2024,1,,,
6/6/2024,1,,,
7/9/2024,-1,,,
